What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?
Female,28,Two or more races,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,49,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,30,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,46,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,48,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Female,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,60,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Male,27,Two or more races,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999"
Male,26,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$35,000 - $49,999"
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Male,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)",Refused
Female,32,White/Caucasian,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,57,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",NA
Male,52,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,34,Black/ African American/ Caribbean American,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,66,White/Caucasian,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,40,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Male,31,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,31,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,42,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,31,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,47,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$15,000 - $24,999"
Female,42,Refused,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,26,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Female,70,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)",NA
Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Male,35,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,60,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)",Refused
Female,32,Refused,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,26,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,38,Black/ African American/ Caribbean American,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Male,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,21,Black/ African American/ Caribbean American,"Yes, Cuban",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,75,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Male,38,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,48,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,35,NA,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Male,46,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Female,23,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,32,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,26,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Female,25,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Male,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,25,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,48,Black/ African American/ Caribbean American,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,50,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Female,55,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Male,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,30,Other,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,33,Other,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,99,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,35,Other,"Yes, Mexican, Mexican American, Chicano","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,34,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,69,Other,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999"
Female,32,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,69,Other,"Yes, Puerto Rican",Some high school,NA
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,45,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,47,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,51,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,41,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,44,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,43,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,40,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,38,Black/ African American/ Caribbean American,"Yes, Cuban","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,41,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Male,80,Other,"Yes, Other",No high school,"Less than $14,999"
Female,33,Native Hawaiian or Pacific Islander,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,27,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Male,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Female,43,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,49,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,40,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,34,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Male,43,Other,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Female,35,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,30,Other,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Male,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,48,Two or more races,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,36,White/Caucasian,"Yes, Other","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Male,39,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,44,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,31,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)",NA
Male,43,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999"
Female,29,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,61,Other,"Yes, Other",Some high school,"$15,000 - $24,999"
Female,36,Other,"Yes, Mexican, Mexican American, Chicano",Some high school,"$15,000 - $24,999"
Female,38,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,43,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,35,Native Hawaiian or Pacific Islander,"Yes, Other",Some high school,"$15,000 - $24,999"
Male,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Female,25,Other,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Female,60,Black/ African American/ Caribbean American,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,38,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,66,Other,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,43,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Male,73,Other,"Yes, Puerto Rican",Some high school,"$15,000 - $24,999"
Female,25,Black/ African American/ Caribbean American,"Yes, Other","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Female,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Female,58,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Male,19,Two or more races,"No, not of Hispanic, Latino, or Spanish origin",Some high school,NA
Female,37,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,36,Two or more races,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,39,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",NA,Refused
Female,20,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Male,43,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,24,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,45,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,31,Other,"Yes, Other",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,26,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,49,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Male,21,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$200,000 and above"
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,69,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,57,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,62,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,62,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Female,21,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999"
Female,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Male,20,Asian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",NA
Male,43,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,20,Other,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$15,000 - $24,999"
Female,35,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,62,Other,"Yes, Other",No high school,"$35,000 - $49,999"
Female,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,32,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,24,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,23,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999"
Female,28,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,44,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Male,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,41,Black/ African American/ Caribbean American,"Yes, Other",Some high school,"Less than $14,999"
Male,25,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Male,55,American Indian or Alaska Native,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Refused,18,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)",NA
Female,31,Other,"Yes, Other",Some high school,"Less than $14,999"
Female,26,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",NA
Female,33,Other,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,38,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,18,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,18,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,27,Other,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999"
Male,24,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,60,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,31,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,44,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,28,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Male,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Male,33,Black/ African American/ Caribbean American,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Female,27,Other,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,50,Other,"Yes, Mexican, Mexican American, Chicano","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,46,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,45,Two or more races,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,40,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999"
Male,44,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$75,000 - $99,999"
Male,21,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,30,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,37,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"Less than $14,999"
Male,51,Other,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,29,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999"
Female,29,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Male,41,Other,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,44,Other,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999"
Male,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,18,Two or more races,"Yes, Other",Some high school,"$25,000 - $34,999"
Male,58,Other,"Yes, Other",Some high school,"$25,000 - $34,999"
Male,30,Refused,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$35,000 - $49,999"
Male,71,White/Caucasian,"Yes, Cuban","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Male,34,Other,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","Less than $14,999"
Male,26,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Male,32,White/Caucasian,"Yes, Puerto Rican",Some college but degree not received or in progress,"Less than $14,999"
Male,32,Black/ African American/ Caribbean American,"Yes, Cuban","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,34,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Female,41,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,28,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Male,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,26,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,32,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,46,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,35,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,28,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,25,Other,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Male,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Male,24,Black/ African American/ Caribbean American,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
