Team,Empowerment,Gender Groups,Race Groups,Gender Comp,Race Comps,Improvements,Age,Occupation/Title,Are you a current student?,Gender,Education,School
"A group of motivated individuals with aligned interests seeking to achieve an agreed upon end result. While these individuals should share a passion, they should have diverse experiences, perspectives and skill sets.",Allowing women to unleash their true power and potential by removing systemic and societal road blocks.,"I think that these groups can foster empowering environments where women can feel supported and free to express their concerns or accomplishments. I also think, however, that it is important for women to also develop professional and personal relationships with men in integrated settings.",Similar response to above.,"I'm not sure why this would be a thing. I think we should be measured by the same yard stick, so not sure why we would need female only science fairs etc.",Similar to above.,"I've been out of school for a bit, so I'll speak to the workplace. As one of the few women on the investing side of Wall Street finance, I would appreciate if 1) I was paid as much as my male counterparts - I had to fight for this and it wasn't a given 2) the dynamic between inevitably female assistants and female investment professionals were the same as with male investment professionals 3) more women were encouraged to join this profession so that I could have any female role models or mentors",25 - 34,Investment Associate,No,Female,Bachelor's Degree,University of Texas
Collaborative Diverse Fun Loving Get it done mentality,Helping females overcome physical mental and stereotypical barriers,Love - much needed,Love - much needed,Don't agree,Don't agree,Helping women tell their story; connecting young women leaders with top female (and male) performers,18 - 24,Sales,No,Female,Bachelor's Degree,UIUC
"diverse in thought, experience, gender, race, age, ability, strengths, etc. -- also depends on the task at hand as to what this looks like","confidence to achieve; supportive environment; ability to speak up, be recognized, advocate, etc.",they have a place and are important for women who feel isolated and/or need that community; they aren't for everyone and not everyone has to participate but they can be critical for those who need them,they have a place and are important for those who feel isolated and/or need that community; they aren't for everyone and not everyone has to participate but they can be critical for those who need them,"don't believe in using competition to generate interest in things like STEM in the broader female population in areas where stereotypes exist as any failure can negatively reinforce stereotypes; they have a place and can work well for some...but they also can have great risks at alienating, furthering stereotypes or stereotype threat, etc.","same as above: don't believe in using competition to generate interest in things like STEM in areas where stereotypes exist as any failure can negatively reinforce stereotypes; they have a place and can work well for some...but they also can have great risks at alienating, furthering stereotypes or stereotype threat, etc.","Discuss stereotypes; address microagressions and biases; implement a ""bias busting"" or similar training for students, educators, peers, etc.; have policies in place to address harrasment and other legal issues; create family friendly policies and watch for disparate impact on women should men take advantage of the policies (see recent studies of where stopping the tenure clock for fathers helps them advance quicker)",45 - 54,"Engineer/Educator - `Director, Women in Engineering Program at UT Austin",No,Female,Graduate Degree,UT Austin / UH Clear Lake
Passionate people working towards a common goal.,"Gender female of Homo sapien equalizing re: cultural, financial emotional, access to resources, information, expectations etc. No delineation of gender specification. All equal.",Helpful to equalize as female gender constitutes a minority's currently & unfortunately in America.,Same as above. Groups needed to equalize life for minority groups.,Fine. Increase female involvement in sciences.,Fine.,"Lol. In Oregon it is much better than Texas regarding social stigma and expectations for females. More equal here, but still not same opportunities. The further you are away from a heterosexual, white, male Christian, the further away you are from full access and opportunity in American society. See: President Trump.",25 - 34,Student,"Yes, Part-time",Male,Bachelor's Degree,Oregon Health & Science University
"depends on what kind of team. i found in school and at the beginning of my career i liked working with women more than i like it in the workplace, sadly. it's not a capability issue, but when you move up and women at your level of seniority mostly have children and families, it becomes more difficult to schedule important things and they generally prioritize their families more over work. it's important that they do that and i would never bring it up negatively, but it's a common complicating factor for many of my coworkers.",that women don't feel judged or less than in the mind of others for the decisions they make for their lives,they feel nice and all but the fact that men are in most positions of power makes me feel like excluding men actually removes these groups from where power actually sits. it's kind of a personal pet peeve of mine,important they are around to make underrepresented minorities feel like they are not alone in their fields,same as about gender specific interest groups,oof. this one seems touchy,"my work does a pretty good job, since it's fairly female dominated. but it's still sad that in more traditionally male departments, men are always the loudest and perceived to be more capable (even when what they have to say is BS). i'm not sure it's that women arent empowered - but i wish they would recognize the toxicity of specific men in positions of power, who currently run unchecked",25 - 34,"Director, Media",No,Female,Bachelor's Degree,University of Texas
"multiethnic, cross cultural, cross generational, cross gender",not letting anyone/anything get in the way of who we were made to be & what we were created to do,"love it - i think they're necessary. while it's important to also develop our place in a more general community, i think that should coexist with affinity groups where you can relate on things that you can't in a larger setting. however, that should lead to natural exchanges and more communication with the greater community (aka it should be a bridge rather than encouraging solely inward facing solidarity).",same as above.,"i don't think there's anything inherently wrong with that, but i'd prefer mixed over specific. this differs more by person though - i honestly think it's more fun with more people from different backgrounds.",same as above.,"leadership taking initiative in having honest talks (giving strong professional feedback, salary discussions, etc).",18 - 24,Student,"Yes, Part-time",Female,Bachelor's Degree,Georgetown University
"Supportive, loving, passionate, compassionate, forward-thinking, and determined.","The space and support to lead authentically, learn, grow, and improve.",I think they can be valuable and empowering networks but I'd love to work somewhere where they weren't even necessary.,"I think they can be valuable and empowering networks but I'd love to work somewhere where they weren't even necessary. At the same time, it can be great to have your own spaces.","I don't have a ton of opinions here but I feel like if it floats your boat, ok.","Can be a great way to focus on community specific needs and build projects with your community, but can also be a way to shut out races from a ""general"" (for lack of a better term) forum",More female leadership in high places. More emotional intelligence. Better projects. Better mentorship and sponsorship structures. Education and zero tolerance for men who fall short of creating good spaces for women,25 - 34,Visual designer and ux-researcher,No,Female,Bachelor's Degree,University of Texas
"People who can respectfully state their opinions, feel comfortable enough to tell me when they don't agree with me, and be reliable and self motivated individuals.","Female empowerment means supporting other women in their efforts to make the world a better place. Even if I personally don't join their efforts, I feel like supporting each other instead of tearing each other down is crucial.","I think that while it's great to find groups of other women who have the same interests as you, these groups almost encourage inequality. Women in Engineering shouldn't be something special, it should be expected, it should be a standard. By pointing out how special it is for women to be in a male dominated field, I think it just takes away from becoming a standard of equality. I think sometimes these things are useful since connections can be made and advice can be given on being a women in a male dominated field, but sometimes they are glorified and I think that's where it starts to be a problem.","Once again, I think it's important to have those connections with groups that you identify with. However, when someone chooses to be in a specific group, opposed to being in a larger, more diverse, group I think it just creates a minority within a minority which takes away from the standard of equality.","I don't agree with them because it is suggesting that women cannot compete with men, or vise versa. Women are just as capable of competing in these events and shouldn't need to be marginalized to be given their own event in order to have a ""fair chance"".","I think that once again, most people should be expected to compete at the same levels regardless of their race or gender. Therefore, if an african american has the same skills as an asian, they should be able to compete in the same competitions regardless of race.","I think the best way to empower women is to act as though they are entirely equal. My school glorifies women in male dominated majors, and like I said previously I think that just takes away the sense of equality.",18 - 24,Student,"Yes, Full-Time",Female,Some College / Associates Degree,University of Illinois at Urbana-Champaign
"Varied but balanced in terms of gender, experience, and professional/educational background.",That women should feel capable and encouraged to do whatever they want to do at any level.,"I'm all for them. I do think men and women face different conditions in any environment. So if women that have already succeeded in these fields can provide any guidance for other females trying to break through, I think that's wonderful.",I feel like they're very helpful for populations that are a minority within a certain field. They can make up for the lack of social/cultural capital that individuals from that group may have.,I'm less of a fan. I think gender shouldn't matter in such competitions.,Also not so much of a fan. Competitions should be open to all races to encourage participation in diverse fields.,"By encouraging women to apply for managerial roles. I think sometimes it's hard for women across all the countries in which we operate (US, Kenya, Uganda, Nigeria, India, UK) to see themselves in those roles because most C-level jobs are held by men.",25 - 34,Global innovation Manager,No,Female,Bachelor's Degree,Harvard University
"My ideal team is small and composed of driven, enthusiastic individuals of varying racial, socio-economic, and educational backgrounds.",Actively working towards closing the gender gap in all aspects of life; i.e. the activism resulting from feminism.,I think they are wonderful! Having a female-specific interest group is extremely supportive in some industries that are usually male-dominated.,"Again, like gender specific interest groups, race specific interest groups act as an extremely valuable support system for minorities.","I think academic/skill competitions that are gender specific are unnecessary. Rather than acting as a support system, they segregate women from men. If they are within a specific support group (i.e. Girls Who Code) that is different, however. A random ""females only competition in _____"" just weird, to me.","Similarly to the academic/skill competitions, I think that they are more harmful than good. If it was something based on nationality, it would be fine, but for race? That's not needed.",Hiring more female professors!,18 - 24,Student,"Yes, Full-Time",Female,Some College / Associates Degree,UIUC
"3 men, 2 women. Blend of mental and physical strengths.","The ability for potential employment opportunities, and the ability to be self-sufficient.","Some can be very positive and influential, while others can have adverse effects.",I feel that they tend to exacerbate issues in a majority of cases because these groups are inherently exclusionary.,I don't see an issue with them.,Silly. All races have ability to perform the same tasks on the same level.,,18 - 24,Student,"Yes, Full-Time",Male,Some College / Associates Degree,Texas State
A group of people who are all interested in carrying their own weight to achieve the task at hand. Led by someone who knows how to coax the max productivity from each member.,"I don't have a high opinion of that phrase/idea. What power are women trying to obtain they can't already access? The term female empowerment implies inferiority to me. My potential is not inferior to that of a man with a similar skill set. Special accommodations simply diminish the achievement. 

In my opinion, women and men get their power/confidence by doing things for which they can claim success. In other words they just have to get out there and do it.","I don't think they're a good idea. I guess the purpose of them is to help women achieve more inroads into the men's realms. The question then becomes if you want to be a part of what has historically been a man's world why on earth would you want to waste time in groups that exclude men? If nothing else it severely diminishes your networking reach. 

Or maybe the purpose is to share ideas to grow their businesses, discuss vendors or possibly HR matters. If so, again why purposely exclude a whole group of people who can undoubtedly contribute and learn as well.","Again, seems contrary to success and makes people seem rather one note. If a person/ prospective hire only engages in race/gender specific career groups, will that person work well with people who aren't like them?

Plus aren't we becoming a much more mixed race culture? Lots of people who are mixed race who will mate with other mixed race people. Then what? Or why stop at race, how about brown-eyed, red-haired or left handed people in tech? In my opinion it's kind of ridiculous","What could possibly be gained by segregating people in competitions in which gender offers no competitive advantage? For example, in cooking competitions, science fairs or math competitions women and men are equal. The playing field is level. People who want to win want to best all comers.",See answer to same question for gender specific competitions.,"I would suggest that they stop trying to empower women. Women are capable of doing anything they want to do. I think that by telling women they need to be empowered implies they aren't capable or are somehow inferior. This encourages women to fall back on this an excuse to themselves and others for underachieving. 
I do think having people of all stripes speak to /mentor kids is important for all kids. It's essential to see everyone can get where they want. For example, inspiring stories from women are equally important for boys and girls. All kids need to be encouraged to dream big and to learn skills to help them get there.",45 - 54,Retired sales mgr,No,Female,Bachelor's Degree,University of Texas
,"The ability for women to be free from obstacles in their pursuit of life, Liberty, and pursuit of happiness",Women in Engineering,Get over race already. This isn't 1950's Alabama. Seriously we have bigger things to worry about.,They end up not preparing participants for the real world,"Dumbest Idea ever. You guys say you want racial equality, and yet keep bringing up race and whining about it. This is the equivalent of trying to get over a breakup by texting your ex 5 times a day.",Let them carry weapons that enable them to protect themselves,18 - 24,Student,"Yes, Full-Time",Female,Bachelor's Degree,University of Texas
Idk what this means,Being proud to be a woman,Women are prominent in many professional fields,Minorities are well represented in several professional fields.,Level playing field,Prejudice,Nothing,18 - 24,Engineer,"Yes, Full-Time",Male,High School Graduate,University of Texas
"One where everyone is on the same page, everyone pulls their equal weight and group trust among members for individuals to perform well","Empowering women to thinking more highly of themselves and their capabilities, so they can go on to achieve greater potential.","It is a little redundant, but gives a community to women in various career paths.",Same answer as above,"If there is a female only science fair, there needs to also be opportunity for a male only science fair.",Same answer as above.,"More support for outside women's organizations like sororities/spirit groups. Women are empowered when they feel strong and confident, and organizations like that help build that kind of confidence.",18 - 24,Policy Analyst,"Yes, Full-Time",Female,Some College / Associates Degree,University of Texas
An ideal team consists of a group working together to accomplish a well established goal. An ideal team also has some form of leadership to focus the team's efforts.,It means opening opportunities for women to take an active role in the secular world and community life.,They are kind of dumb and also unfair considering far more of them exist for men than women. Actually very few of these types of organizations exist for men.,"These are okay in themselves. Simultaneously though, they can be racist if each group isn't held to the same standard. However, I think it a bit of a paradox to look poorly on a ""white"" group of some kind.",That would definitely be sexist.,Definitely racist.,"I think they could better recognize the role of men in the world to realize that men and women are interdependent and should not be pinned against one another for power and control. Men need women to succeed, and women need men.",18 - 24,Student,"Yes, Full-Time",Male,Some College / Associates Degree,University of Texas
"A group of about 4-6 highly creative and proactive people, who are not afraid to contribute ideas and see them out thoroughly.","I'm going to state what I would like it to mean. I think a lot of people have a lot of stupid (pardon my bluntness) definitions of it, but I personally think it should mean making sure women understand they have the opportunity to pursue whatever they believe will fulfill them in life, and giving them the opportunity to make something of themselves through it.","I'm dubious of their effectiveness. Obviously they offer community, but in terms of development of the group is intended for a field where women are under represented, seclusion gentlemen themselves from the competition of the true environment could be disadvantageous.",Same as with gender groups.,"It seems disingenuous. To exclude any population only demeans the value of success. I would never want a boys only science fair because then a girl could rationalize the argument that I hadn't fully proven superiority there, since she didn't have the opportunity to best me.",Same as gender,"Encourage them, but dont treat them like theyre inferior. Also please understand that there's going to be tendencies of opinion and selection between the genders, and that these discrepancies are totally fine and natural, not necessarily a result of some sort of oppression.",18 - 24,Student,"Yes, Full-Time",Male,Some College / Associates Degree,University of Texas
,"The right for a woman to behave just as a man does, for all judgement to be based on skill and character. For her to be able to be proud of her being a female, but of course understand that this makes her no more special than any other human being. I.e. the argument between patriotism v. nationalism","I believe they are fine as long as they are not hurtful or disrespectful to male participants in their respective industry. Ultimately, once again, as long as the group exists for the betterment of female skill and networking, not to say that these females are inherently better than their male counterparts, as neither sex consciously determines their genitalia before birth.",Effectively the same as my female answer above ^,"They shouldn't be a thing. I do not believe there is any difference between the mental power of either sex, therefore we should all be judged equally based on skill and merit.","The same as the female answer above ^. Also: although there do exist barriers to entry for many minorities, I believe that giving anyone a separate competition without the inclusion of the majority is ultimately harmful to both members of the minority and majority. Rather than changing the rules to any competition, if minorities lack the education and institutions to aid them, we should focus on helping build those resources rather than setting them up for failure in a position that they may ultimately not be suited for, thus hopefully we can assure that the most skilled individual attains their deserved position.","More women's organizations, but I believe (UT) we already do a fine job of that and that any woman who cannot find a suitable org should be easily able to found one without challenge here.",18 - 24,Student,"Yes, Full-Time",Male,Some College / Associates Degree,University of Texas
"Hard-working, efficient, cooperative","Instilling confidence in others, encouraging both men and women to work together to form a better team/organization/system/country, etc., teaching women to embrace their strengths and work on their weaknesses instead of bringing males down","I am not in support of said organizations. Those who preach gender equality want to be treated the same as men, and gender specific interest groups entirely negate that dialogue.","Organizations as such unnecessarily exclude members of that race, only furthering racial stereotypes and prejudices. If POC and minorities want to be treated the same as everyone else, they need to halt exclusive organizations such as the ones mentioned.","Not necessary -- I believe both genders are perfectly capable of competing in academic or skill specific settings. Gender specific competitions only emphasize a perceived ""gap"" or insufficiency. What does having an all girls science fair say about girls? That they are not able to compete with boys?","Similar answer to above -- this only further perpetuates gaps and prejudices. Being treated equally means not excluding your race, gender, etc",I do not believe it is my school or workplace's responsibility to empower me or my female peers/coworkers. That is the job of my parents and I am proud to say that even my father is incredible at doing so. Men are just as important of influences to young women as female role models are.,18 - 24,"student, intern","Yes, Full-Time",Female,Some College / Associates Degree,University of Texas
