Id,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
118,I am a developer by profession,Yes,35,15,Yearly,145000,145000,United States,United States dollar,USD,Redis,DynamoDB;MariaDB;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist;Engineer, site reliability;System administrator","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;HTML/CSS;Python;Rust;TypeScript,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;SQL;TypeScript,.NET Core;Teraform,.NET Core;Node.js;Teraform;Unity 3D;Unreal Engine,Github;Microsoft Azure,"Confluence;Jira;Github;Gitlab;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Very important,Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,Yes,Yes,Often: 1-2 days per week or more,Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,2 to 9 employees,Docker;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,Android;AWS;Docker;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",ASP.NET Core;Gatsby;React.js,ASP.NET Core;React.js,Just as welcome now as I felt last year,50,16,16
119,I am a developer by profession,Yes,24,15,Yearly,57000,61616,Germany,European Euro,EUR,MongoDB,MongoDB,"Developer, back-end","Associate degree (A.A., A.S., etc.)",Employed full-time,White or of European descent,Man,"Industry that Iü??d be working in;Languages, frameworks, and other technologies Iü??d be working with;Remote work options",Very dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",Go,Go;PHP;Python,Keras;Pandas;TensorFlow,Keras;Pandas;TensorFlow,"Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Curious about other opportunities;Trouble with leadership at my company;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Onboarding? What onboarding?,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow,Linux-based,100 to 499 employees,Docker;Google Cloud Platform;Kubernetes;Linux,Docker;Google Cloud Platform;Kubernetes;Linux,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Easy,Too short,No,"Computer science, computer engineering, or software engineering",NA,Laravel,Just as welcome now as I felt last year,40,10,6
120,I am a developer by profession,Yes,26,19,Yearly,145000,145000,United States,United States dollar,USD,PostgreSQL,PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian;White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Remote work options;Office environment or company culture",Neither satisfied nor dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;JavaScript;Python;SQL,Bash/Shell/PowerShell;JavaScript;Python;SQL,NA,NA,NA,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Very important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Directly asking current or past employees at the company",Once a year,Yes,Yes,No,Never,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,500 to 999 employees,Arduino;Docker;Linux;MacOS;Raspberry Pi,AWS;Docker;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;Vue.js,Django;Vue.js,Just as welcome now as I felt last year,25,8,5
121,I am a developer by profession,No,23,12,Yearly,85000,109871,United Kingdom,Pound sterling,GBP,Elasticsearch;Firebase;PostgreSQL;Redis,Firebase;MongoDB;PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture;Opportunities for professional development",Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript,Node.js,Node.js,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",No,Somewhat important,Very important,Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Directly asking current or past employees at the company",Every few months,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,20 to 99 employees,AWS;Docker;Google Cloud Platform;Linux;MacOS,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack Apps and Integrations,I have some influence,NA,Yes,Neutral,A few times per month or weekly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;React.js,Angular.js;Express;React.js;Spring,Just as welcome now as I felt last year,40,10,5
122,I am a developer by profession,Yes,26,12,Weekly,120000,2.00E+06,United States,United States dollar,USD,Cassandra;Firebase;MongoDB;PostgreSQL;Redis,Cassandra,"Developer, back-end;Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Remote work options;Office environment or company culture",Neither satisfied nor dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",C;C++;Go;Kotlin;Rust,Bash/Shell/PowerShell;C++;Go;Java;Python,Flutter;Hadoop;TensorFlow;Unreal Engine,.NET Core,Confluence;Jira;Github;Slack,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Very important,Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,No,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,"10,000 or more employees",Android;Arduino;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Raspberry Pi,AWS;Docker;Linux;Raspberry Pi,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Flask;jQuery;React.js,Spring,Just as welcome now as I felt last year,36,8,3
123,I am a developer by profession,No,38,14,Yearly,0,0,United States,United States dollar,USD,Firebase,Firebase,"Designer;Developer, mobile","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,NA,Very satisfied,I am not interested in new job opportunities,C++;Swift,Swift,Unreal Engine,NA,NA,NA,NA,NA,Not at all important/not necessary,NA,NA,Once every few years,Yes,NA,No,Often: 1-2 days per week or more,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",iOS,iOS,NA,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Multiple times per day,Easy,Too short,No,"A humanities discipline (such as literature, history, philosophy, etc.)",NA,NA,Somewhat less welcome now than last year,60,24,19
124,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,41,30,Monthly,2.00E+05,2.00E+06,United States,United States dollar,USD,PostgreSQL,PostgreSQL,Data scientist or machine learning specialist;Scientist,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Family friendliness,Very satisfied,I am not interested in new job opportunities,Python,Python;SQL,Keras;Pandas;TensorFlow;Torch/PyTorch,Keras;Pandas;TensorFlow,Jira,Jira,Not sure,Neutral,Critically important,Better work/life balance,Personal network - friends or family;Directly asking current or past employees at the company,Once every few years,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Visit another developer community (please name):,Windows,"5,000 to 9,999 employees",Docker;Kubernetes,Docker,I have little or no influence,Straight / Heterosexual,Not sure/can't remember,"No, not really",NA,Multiple times per day,Easy,Appropriate in length,No,NA,NA,NA,Just as welcome now as I felt last year,40,11,11
125,I am a developer by profession,Yes,35,11,Yearly,145000,145000,United States,United States dollar,USD,MySQL;Redis,MySQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture;Opportunities for professional development",Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",Go;PHP;Swift,JavaScript;PHP,Node.js;React Native,Node.js,"Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow,MacOS,100 to 499 employees,AWS;iOS;MacOS,AWS;MacOS,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"A social science (such as anthropology, psychology, political science, etc.)",Laravel;React.js;Vue.js,Laravel;React.js,Just as welcome now as I felt last year,45,9,4
126,I am a developer by profession,No,64,15,NA,NA,NA,United States,NA,NA,NA,NA,NA,"Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Retired,White or of European descent,Woman,NA,NA,NA,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;VBA,NA,NA,NA,NA,NA,NA,Fairly important,Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,NA,Yes,NA,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,NA,Android;Google Cloud Platform;Windows,Google Cloud Platform;Windows,NA,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Less than once per month or monthly,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,NA,50,NA
127,I am a developer by profession,Yes,23,14,Yearly,80000,80000,United States,United States dollar,USD,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",Some college/university study without earning a degree,Employed full-time,White or of European descent,Woman,"Flex time or a flexible schedule;Languages, frameworks, and other technologies Iü??d be working with;Remote work options",Slightly satisfied,"Iü??m not actively looking, but I am open to new opportunities",C#;JavaScript,C#;HTML/CSS;JavaScript;SQL,.NET Core;Xamarin,.NET;.NET Core,"Slack;Google Suite (Docs, Meet, etc)","Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)",No,Extremely important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Not sure,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,2 to 9 employees,Android;Docker,Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;React.js;Vue.js,Angular.js;ASP.NET Core;React.js,Just as welcome now as I felt last year,37,5,4
128,I am a developer by profession,Yes,NA,16,Yearly,115000,115000,United States,United States dollar,USD,PostgreSQL;Redis,DynamoDB;Firebase;MongoDB;MySQL;SQLite,"Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Specific department or team Iü??d be working on;How widely used or impactful my work output would be,Very satisfied,I am not interested in new job opportunities,R,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Python;SQL;TypeScript,NA,NA,Github;Stack Overflow for Teams,Confluence;Jira;Github;Slack;Microsoft Teams;Trello;Stack Overflow for Teams,Yes,Extremely important,Somewhat important,Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,MacOS,100 to 499 employees,Arduino;AWS;Raspberry Pi,Arduino;AWS;Heroku;MacOS,I have little or no influence,Straight / Heterosexual,No,Neutral,NA,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Vue.js,Express;Flask;Vue.js,Just as welcome now as I felt last year,40,4,2
129,I am a developer by profession,No,NA,15,Monthly,NA,NA,United Kingdom,Pound sterling,GBP,NA,Microsoft SQL Server;MySQL;SQLite,"Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Financial performance or funding status of the company or organization;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,NA,C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA,NA,.NET;Xamarin,NA,Microsoft Teams,No,Not very important,Not at all important/not necessary,Having a bad day (or week or month) at work;Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos",Once a year,No,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow,Windows,2 to 9 employees,NA,Android;iOS;Microsoft Azure;Raspberry Pi;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,NA,NA,ASP.NET;jQuery,Just as welcome now as I felt last year,NA,8,8
130,I am a developer by profession,Yes,37,11,Yearly,115000,115000,United States,United States dollar,USD,MongoDB;PostgreSQL;Redis,MySQL,"Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Industry that Iü??d be working in;Languages, frameworks, and other technologies Iü??d be working with;Remote work options",Slightly satisfied,"Iü??m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Julia;Rust;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript,.NET Core,.NET;.NET Core;Node.js,Github;Slack,Confluence;Jira;Github;Slack,No,Extremely important,Somewhat important,Better compensation;Trouble with my teammates;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,Yes,Yes,Rarely: 1-2 days per year or less,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Visit another developer community (please name):,Windows,10 to 19 employees,Arduino;AWS;Docker;Raspberry Pi;Windows,AWS;Docker;Linux;Raspberry Pi;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,Mathematics or statistics,React.js;Vue.js,Vue.js,Just as welcome now as I felt last year,40,5,3
131,I am a developer by profession,No,38,13,Monthly,1200,15564,Spain,European Euro,EUR,Firebase,Elasticsearch;Firebase;MongoDB,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Product manager",Primary/elementary school,"Independent contractor, freelancer, or self-employed",Biracial,Man,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,Neither satisfied nor dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",Dart,Dart;HTML/CSS;JavaScript;TypeScript,Flutter,Flutter;Node.js,Github,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Fairly important,Just because;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Not sure,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",Android;iOS,Android;AWS;Docker;iOS,NA,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,NA,NA,Gatsby;React.js,A lot more welcome now than last year,20,5,4
132,I am a developer by profession,Yes,NA,18,Yearly,45000,24864,Bulgaria,Bulgarian lev,BGN,Elasticsearch;Firebase;Microsoft SQL Server;PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,Specific department or team Iü??d be working on;Office environment or company culture;Opportunities for professional development,Slightly dissatisfied,"Iü??m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,.NET;.NET Core;Flutter,.NET;.NET Core;Flutter;Node.js,"Github;Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,Yes,Rarely: 1-2 days per year or less,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,"10,000 or more employees",Android;Arduino;AWS;Docker;Google Cloud Platform;Linux;Raspberry Pi;Windows,Arduino;Linux;Windows;WordPress,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core,Angular;Angular.js;ASP.NET;ASP.NET Core;Express;jQuery;Laravel,A lot more welcome now than last year,40,8,5
133,I am a developer by profession,Yes,30,10,Weekly,3250,210050,United Kingdom,Pound sterling,GBP,PostgreSQL,SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack","Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Slightly satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;Rust;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript,Node.js;React Native;Teraform,Node.js;Teraform,"Github;Slack;Google Suite (Docs, Meet, etc)","Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Curious about other opportunities;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Directly asking current or past employees at the company",Once a year,No,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Linux-based,20 to 99 employees,AWS;Kubernetes;Linux,AWS;Kubernetes;Linux;Slack Apps and Integrations,NA,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Gatsby;React.js,Express;Gatsby;React.js,Just as welcome now as I felt last year,32,20,10
134,I am a developer by profession,Yes,53,10,NA,NA,NA,United States,United States dollar,USD,MariaDB;PostgreSQL;Redis,Elasticsearch;MySQL;PostgreSQL,Data or business analyst;Designer;Educator;Senior executive/VP;System administrator,"Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x;Middle Eastern;White or of European descent,Man,NA,Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;HTML/CSS;Julia;Python;Scala;SQL;Swift,Bash/Shell/PowerShell;HTML/CSS;Python;SQL,Apache Spark;Hadoop;Pandas;Torch/PyTorch,Pandas,Github;Slack,Github;Slack,No,Extremely important,Not at all important/not necessary,NA,NA,Every few months,Not sure,NA,No,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,2 to 9 employees,AWS;Docker;IBM Cloud or Watson;MacOS,AWS;MacOS,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Too long,No,"A business discipline (such as accounting, finance, marketing, etc.)",Flask,Flask,Just as welcome now as I felt last year,NA,35,35
