What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Female,45,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Southern Bronx,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Male,30,Two or more races,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Outer Brooklyn,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Male,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,NA
Female,32,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Manhattan Core,Yes,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Non-profit,NA
Male,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Brooklyn,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Female,38,Other,"Yes, Puerto Rican",Some high school,"Less than $14,999",Inner Brooklyn,Yes,Getting worse,I use the subway more frequently,Staying the same,NA,Married,Yes,No,A building with 2 to 9 apartments,Rent,Stay-at-home parent,NA,NA
Male,61,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Government,NA
Female,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Outer Brooklyn,Yes,Staying the same,NA,NA,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed part time (working less than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Female,31,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$150,000-$199,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,34,Other,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Rent,Other,NA,NA
Female,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Outer Brooklyn,No,Staying the same,NA,Getting worse,I take the bus the same amount,Divorced,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Male,32,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Outer Brooklyn,Yes,Staying the same,NA,Getting better,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Rent,Full time student,NA,NA
Female,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Inner Brooklyn,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,Yes,No,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Male,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Outer Brooklyn,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Retail,NA
Male,25,Other,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Staten Island,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,35,Other,"Yes, Other",No high school,"Less than $14,999",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed part time (working less than 30 hours per week),Manufacturing,NA
Male,33,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Middle Queens,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Own,Unemployed,NA,NA
Female,26,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Brooklyn,No,Getting worse,I use the subway less frequently,Getting better,I take the bus more frequently,Single,No,Yes,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,64,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Southern Bronx,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,NA
Female,18,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Middle Queens,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Female,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Inner Brooklyn,No,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Male,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Staten Island,Yes,Staying the same,NA,NA,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Education,NA
Male,62,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Southern Bronx,Yes,Staying the same,NA,Getting better,I take the bus the same amount,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,21,Other,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999",Northern Manhattan,No,Staying the same,NA,NA,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,NA
Female,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Outer Queens,Yes,Staying the same,NA,Getting better,NA,Single,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Northern Manhattan,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Real estate,NA
Male,60,Other,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Rent,Volunteer work (at least 1 day/week),NA,NA
Female,30,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999",Southern Bronx,Yes,Staying the same,NA,Staying the same,NA,Single,Yes,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Education,NA
Female,54,Two or more races,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,52,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)","$200,000 and above",Outer Brooklyn,Yes,Staying the same,NA,Getting worse,I take the bus less frequently,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Government,NA
Male,35,Black/ African American/ Caribbean American,"Yes, Other","Associate degree (i.e., AA, AS)","$15,000 - $24,999",Inner Brooklyn,Yes,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Male,47,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Widowed,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Male,75,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999",Inner Brooklyn,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Living in a committed partnership,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Female,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Arts & Entertainment,NA
Female,29,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Rent,Employed part time (working less than 30 hours per week),Education,NA
Male,60,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Inner Brooklyn,Yes,NA,NA,Getting worse,NA,Married,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Education,NA
Male,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Northern Bronx,Yes,Getting worse,I use the subway less frequently,NA,NA,Single,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Female,18,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Manhattan Core,No,Staying the same,NA,Getting better,I take the bus less frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,NA
Female,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Outer Brooklyn,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Refused,No,No,A building with 2 to 9 apartments,Rent,Refused,NA,NA
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Volunteer work (at least 1 day/week),NA,NA
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$25,000 - $34,999",Inner Brooklyn,Yes,Getting worse,I use the subway more frequently,Getting worse,I take the bus less frequently,Divorced,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Outer Queens,Yes,Getting worse,I use the subway less frequently,Getting better,I take the bus less frequently,Married,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Education,NA
Male,33,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Northern Bronx,No,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Rent,Other,NA,NA
Female,45,Other,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Technology & Telecommunications,NA
Female,25,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Brooklyn,Yes,Getting worse,I use the subway less frequently,NA,NA,Single,No,No,A building with 2 to 9 apartments,Rent,NA,NA,NA
Female,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Outer Brooklyn,Yes,NA,NA,Getting better,I take the bus the same amount,Married,No,No,A building with 10 to 49 apartments,Rent,Stay-at-home parent,NA,NA
Male,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Outer Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Married,No,No,A one family house detached from any other house,Own,Other,NA,NA
Female,30,Other,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Outer Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Male,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,NA
Male,41,Refused,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Government,NA
Male,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Inner Brooklyn,No,Getting better,I use the subway less frequently,Staying the same,NA,Single,Yes,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,NA
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Married,Yes,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Refused,NA
Female,26,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Outer Brooklyn,No,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A one family house detached from any other house,NA,Employed part time (working less than 30 hours per week),Arts & Entertainment,NA
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Widowed,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,50,Two or more races,"Yes, Other","Associate degree (i.e., AA, AS)","$100,000 - $149,999",Outer Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Technology & Telecommunications,NA
Female,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Inner Brooklyn,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Non-profit,NA
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Outer Brooklyn,Yes,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Divorced,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Manhattan Core,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Media,NA
Female,49,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$75,000 - $99,999",Outer Brooklyn,Yes,Getting better,I use the subway the same amount,Staying the same,NA,Living in a committed partnership,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Male,35,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Manhattan Core,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A one family house attached to one or more houses,Rent,Unemployed,NA,NA
Female,999,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,999,Two or more races,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Staten Island,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Divorced,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Government,NA
Female,36,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,26,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Outer Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Media,NA
Male,50,Two or more races,"Yes, Other",Some college but degree not received or in progress,"$150,000-$199,999",Manhattan Core,Yes,Staying the same,NA,NA,NA,Married,No,No,A building with 50 or more apartments,Own,Employed part time (working less than 30 hours per week),Other,NA
Male,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Widowed,No,No,A one family house attached to one or more houses,Own,Retired,NA,NA
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Widowed,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Divorced,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Male,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Staten Island,Yes,NA,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,57,Other,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","Less than $14,999",Inner Brooklyn,No,Getting better,I use the subway the same amount,Getting better,I take the bus less frequently,Widowed,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Hospitality,NA
Female,48,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Staten Island,Yes,Staying the same,NA,Getting better,I take the bus the same amount,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,41,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,23,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Inner Brooklyn,No,Getting better,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,NA
Male,19,Other,"Yes, Mexican, Mexican American, Chicano","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Staten Island,No,Staying the same,NA,Getting better,I take the bus more frequently,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Construction,NA
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Staten Island,Yes,Refused,NA,Refused,NA,Married,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Government,NA
Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Staten Island,Yes,Getting worse,NA,Getting worse,I take the bus more frequently,Married,No,Yes,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Hospitality,NA
Male,26,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Male,56,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Manhattan Core,Yes,Staying the same,NA,NA,NA,Married,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Non-profit,NA
Female,31,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Northern Manhattan,No,Staying the same,NA,Getting better,I take the bus the same amount,Single,Yes,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Male,50,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Male,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Staten Island,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Government,NA
Female,25,Other,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$15,000 - $24,999",Inner Brooklyn,No,Getting worse,I use the subway less frequently,NA,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Financial services,NA
Male,56,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$35,000 - $49,999",Northern Manhattan,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Outer Brooklyn,No,Getting worse,I use the subway less frequently,NA,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Male,39,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Outer Brooklyn,Yes,Staying the same,NA,Getting worse,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Female,47,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,NA
Male,68,Black/ African American/ Caribbean American,NA,"Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Northern Manhattan,No,Staying the same,NA,Getting better,I take the bus more frequently,Married,No,No,A building with 2 to 9 apartments,Own,Retired,NA,NA
Male,25,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Manhattan Core,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A building with 2 to 9 apartments,Rent,Employed part time (working less than 30 hours per week),Education,NA
Male,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$200,000 and above",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Real estate,NA
Male,63,Black/ African American/ Caribbean American,"Yes, Other",Some high school,"$15,000 - $24,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Male,30,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
